,url,base,price,value,description
141,tienda3catalog/product/view/id/24876/s/jersey-canale-bicolor/category/229/,JERSEY BICOLOR CANALÉ,"31,96 €",8434135257565,Jersey de punto bicolor en color teja y rosa para niña. Cuello redondo y manga larga.
142,tienda3catalog/product/view/id/25709/s/crema-gorro-pompon-acsl34-233/category/229/,GORRO CREMA CON POMPÓN,,8434135257695,Gorro crema con pompón a contraste.
143,tienda3catalog/product/view/id/24874/s/jersey-lazo-azul/category/230/,JERSEY AZUL LAZO,"31,96 €",8434135253437,Jersey de punto azul con manga larga y lazo delantero en bajo. Cuello redondo.
144,tienda3catalog/product/view/id/24872/s/mostaza-manga-abullonada/category/230/,CÁRDIGAN PUNTO MOSTAZA,"29,16 €",8434135258357,Cárdigan de punto mostaza con manga larga abullonada. Apertura delantera con botones.
145,tienda3catalog/product/view/id/24875/s/mostaza-liso-jersey/category/230/,JERSEY NIÑA MOSTAZA,"27,96 €",8434135258548,Jersey de punto en color mostaza. Cuello redondo y manga larga. Terminación en rib.
146,tienda3catalog/product/view/id/24876/s/jersey-canale-bicolor/category/230/,JERSEY BICOLOR CANALÉ,"31,96 €",8434135257565,Jersey de punto bicolor en color teja y rosa para niña. Cuello redondo y manga larga.
147,tienda3catalog/product/view/id/25691/s/canale-rosa-tosl34-124/category/230/,JERSEY ROSA CANALÉ,"31,96 €",8434135257510,Jersey rosa corto de punto con canalé en pecho para niña. Manga larga y cuello redondo. Terminación en rib.
148,tienda3catalog/product/view/id/25185/s/granate-nina-lurex-drsl36-136/category/231/,VESTIDO CUADRO LÚREX,"27,96 €",8434135248648,Vestido granate con cuello volante. Estampado cuadros de lúrex. Manga larga. Apertura en espalda con botones.
149,tienda3catalog/product/view/id/25006/s/peonias-vestido-nina-drsl36-142/category/231/,VESTIDO NIÑA PEONÍAS,"35,96 €",8434135249683,Vestido de niña con estampado peonías y volante lateral en canesú. Cuello redondo y manga larga. Apertura en espalda con botones.
150,tienda3catalog/product/view/id/24773/s/lazo-negro-vestido/category/231/,VESTIDO NIÑA LAZO NEGRO,"27,96 €",8434135247764,Vestido color crema con lazo negro en cintura. Manga larga y cuello redondo. Detalle bordado frontal. Apertura con botones en espalda.
151,tienda3catalog/product/view/id/25176/s/pichi-rojo-nina-bosl36-145/category/231/,PICHI NIÑA MICROPANA,"29,16 €",8434135259507,Pichi rojo de micropana con tirantes cruzados para niña. Detalle volantes en tirante. Bolsillos laterales.
152,tienda3catalog/product/view/id/25044/s/racimos-nina-gris-drsl36-139/category/231/,VESTIDO RACIMOS NIÑA,"35,96 €",8434135254113,Vestido con cuello volante y estampado floral. Manga larga. Cierre delantero con botones.
153,tienda3catalog/product/view/id/25381/s/pantalon-algodon-unisex-bosl35-271/category/232/,PANTALÓN ALGODÓN MOSTAZA,,8434135277716,Pantalón unisex de algodón. Corte pitillo. Cintura elástica con cordón ajustable. Bordado BAP a contraste.
154,tienda3catalog/product/view/id/25136/s/culotte-nina-pantalon-bosl36-112/category/232/,PANTALÓN CULOTTE NIÑA,"23,96 €",8434135259316,Pantalón culotte azul oscuro para niña. Bolsillos laterales.
155,tienda3catalog/product/view/id/25155/s/falda-micropana-nina-bosl36-111/category/232/,FALDA MICROPANA MOSTAZA,"23,96 €",8434135259262,Falda de micropana en color mostaza para niña. Bolsillos delanteros. Cierre con botones delanteros.
156,tienda3catalog/product/view/id/25135/s/fruncido-cintura-pantalon-bosl36-103/category/232/,PANTALÓN NIÑA PANA,"23,96 €",8434135259163,Pantalón largo de tejido pana para niña. Cintura fruncida con elástico. Bolsillos laterales.
157,tienda3catalog/product/view/id/25186/s/lurex-blusa-granate-tosl36-95/category/233/,BLUSA NIÑA LÚREX,"21,96 €",8434135248754,Blusa granate con estampado cuadros lúrex. Volante en bajo. Cuello redondo y manga larga. Apertura delantera con botones.
158,tienda3catalog/product/view/id/25198/s/gris-floral-racimos-tosl36-99/category/233/,BLUSA NIÑA RACIMOS,"27,96 €",8434135254489,Blusa gris con estampado floral para niña. Volante grande en cuello. Terminación con pliegues. Manga larga. Apertura delantera con botones.
159,tienda3catalog/product/view/id/25366/s/jaretas-nina-blanca-tosl36-158/category/233/,BLUSA BLANCA JARETAS,"21,96 €",8434135251280,Blusa blanca con cuello redondo y jaretas frontales. Manga larga. Cierre con botones delantero.
160,tienda3catalog/product/view/id/25657/s/nina-bordado-negro-tosl36-93/category/233/,BLUSA NIÑA BORDADO NEGRO,"21,96 €",8434135248037,Blusa rosa para niña con cuello volante bordado en tono negro. Manga larga. Apertura delantera con botones.
161,tienda3catalog/product/view/id/23833/s/blusa-ni-a-tulipanes/category/233/,BLUSA NIÑA TULIPANES,"27,96 €",8434135249515,Blusa azul medio con estampado tulipanes para niña. Cuello redondo y manga larga con cierre botón. Detalle punto smock delantero. Cierre con botones en espalda.
162,tienda3catalog/product/view/id/24117/s/sudadera-roja-capucha-tosl35-150/category/234/,SUDADERA ROJA CAPUCHA,,8434135255530,Sudadera roja con capucha rosa para niña. Manga larga. Detalle letras bordadas.
163,tienda3catalog/product/view/id/25654/s/camiseta-cuello-alto-tosl34-129/category/234/,CAMISETA CUELLO ALTO NIÑA,"29,16 €",8434135258555,Camiseta de punto y cuello alto para niña. Manga larga.
164,tienda3catalog/product/view/id/25304/s/abrigo-cuadro-gris-ousl36-151/category/235/,ABRIGO CUADRO GRIS,,8434135248457,Abrigo en tejido mezcla de lana con estampado de cuadros multicolor. Bolsillos laterales. Apertura botonadura delantera.
165,tienda3catalog/product/view/id/24588/s/plumifero-terracota/category/235/,PLUMAS TERRACOTA,"67,96 €",8434135142786,Plumas color terracota con capucha efecto pelo desmontable. Cierre con cremallera oculta y botones. Detalle bolsillos delanteros.
166,tienda3catalog/product/view/id/24586/s/plumifero-unisex-verde/category/235/,PLUMAS NIÑO VERDE,,8434135220927,Plumas color verde caza con capucha desmontable y forro de borrego. Cierre con cremallera. Detalle alamares frontales y bolsillos con solapa.
167,tienda3catalog/product/view/id/24179/s/plumas-capucha-ousl36-210/category/235/,PLUMAS CAPUCHA,"75,96 €",8434135260947,Plumas azul capucha desmontable efecto pelo. Cierre con cremallera oculta y botones. Forro interior. Detalle bolsillos delanteros. Relleno 70% plumón y 30% pluma.
168,tienda3catalog/product/view/id/24309/s/mercedita-gris-claro/category/236/,MERCEDITA GRIS CLARO,"31,96 €",8434135117241,Merceditas gris con acabado en ante. Detalle de cierre en empeine para facilitar la sujeción con lazo. Forro interior 100% algodón. Suela de piel. Detalle greca delantera.
169,tienda3catalog/product/view/id/24792/s/boton-bailarina-nina/category/236/,BAILARINA BURDEOS NIÑA,,8434135088671,Bailarina de piel en color burdeos con cierre de botón.
170,tienda3catalog/product/view/id/24312/s/botin-de-pana-gris/category/236/,BOTÍN DE PANA GRIS,,8434135230650,Botín de pana gris combinación de ante y pana. Cierra con cordones elásticos. Suela a contraste.
171,tienda3catalog/product/view/id/24396/s/coletero-elastico-acsl36-262/category/237/,COLETERO ELÁSTICO,"3,56 €",8434135261203,Coletero niña elástico con estampado.
172,tienda3catalog/product/view/id/25709/s/crema-gorro-pompon-acsl34-233/category/237/,GORRO CREMA CON POMPÓN,,8434135257695,Gorro crema con pompón a contraste.
173,tienda3catalog/product/view/id/25688/s/relieves-gorro-nina-acsl34-232/category/237/,GORRO ROSA POMPONES,,8434135256261,Gorro rosa de punto con pompones en relieve para niña.
174,tienda3catalog/product/view/id/25182/s/turbante-mostaza-acsl34-227/category/237/,TURBANTE DE PUNTO MOSTAZA,"9,96 €",8434135260664,Turbante de punto mostaza con nudo delantero para niña.
175,tienda3catalog/product/view/id/23856/s/gorro-greca-con-pompon/category/238/,GORRO GRECA CON POMPÓN,"13,96 €",8434135252522,Gorro de punto unisex en color gris con detalle greca. Pompón en la parte superior.
176,tienda3catalog/product/view/id/25182/s/turbante-mostaza-acsl34-227/category/238/,TURBANTE DE PUNTO MOSTAZA,"9,96 €",8434135260664,Turbante de punto mostaza con nudo delantero para niña.
177,tienda3catalog/product/view/id/25688/s/relieves-gorro-nina-acsl34-232/category/238/,GORRO ROSA POMPONES,,8434135256261,Gorro rosa de punto con pompones en relieve para niña.
178,tienda3catalog/product/view/id/25709/s/crema-gorro-pompon-acsl34-233/category/238/,GORRO CREMA CON POMPÓN,,8434135257695,Gorro crema con pompón a contraste.
179,tienda3catalog/product/view/id/23791/s/bufanda-de-cuadros-acsl34-228/category/239/,BUFANDA DE CUADROS,,8434135252485,Bufanda de punto color crema con cuadros azules. Terminación de flecos.
180,tienda3catalog/product/view/id/23792/s/manoplas-bicolor/category/239/,MANOPLAS BICOLOR,"11,96 €",8434135252508,Manoplas de punto en color crema y azul marino. Acabado en rib.
181,tienda3catalog/product/view/id/24396/s/coletero-elastico-acsl36-262/category/240/,COLETERO ELÁSTICO,"3,56 €",8434135261203,Coletero niña elástico con estampado.
182,tienda3catalog/product/view/id/25373/s/libro-pompon-teatro-acco36-05/category/245/,POMPÓN EN EL TEATRO,"21,90 €",8434135279086,"Libro ilustrado creado por Ximena Maier para Bonnet à Pompon, en colaboración con El Teatro Real, los beneficios irán destinados a la Fundación Aladina. Edad recomendada a partir de 4 años. Tamaño: 22 x 22cm. Encuadernado en tapa dura acolchada. 40 páginas. Idioma: Castellano."
183,tienda3catalog/product/view/id/21542/s/fragancia-bonnet-a-pompon-acco14-04/category/245/,FRAGANCIA BONNET À POMPON,"24,90 €",8434135163200,"LE CHARME | EL ENCANTO Primer Agua de Perfume de Bonnet à Pompon. Un aroma elegante, fresco, con un toque empolvado y dulce, compuesto por canela, naranja, azahar, vainilla y jazmín para toda la familia. Packaging blanco con textura, estampación en plata, envuelto con papel de celofán. Medidas caja: 73mm. X 95mm. Medidas bote de cristal: altura 85mm. X 66mm. diámetro. 100 ml. ¡ Una fragancia con encanto, para niños con encanto!"
184,tienda3catalog/product/view/id/11823/s/bombonera/category/245/,BOMBONERA,"9,90 €",0000000000000,"Dimensiones tamaño pequeño: 9x21 cm
Dimensiones tamaño mediano: 10,50x26 cm
Dimensiones tamaño grande: 13x35 cm
"
